Year,Sample ID,Group,TDconc,PDconc,HxD1conc,HxD2conc,HxD3conc,HpDconc,OCDDconc,TFconc,PF1conc,PF2conc,HxF1conc,HxF2conc,HxF3conc,HxF4conc,HpF1conc,HpF2conc,OCDFconc
2017,2017000-S01,17_Ctrl,0.0695,0.209,0.0667,0.071,0.0675,0.815,4.67,0.0911,0.0616,0.0684,0.0416,0.0415,0.0779,0.0458,0.0393,0.0573,0.0848
2017,2017000-S02,17_Ctrl,0.0597,0.16,0.0621,0.202,0.0587,0.655,3.48,0.0702,0.0463,0.0507,0.0339,0.0324,0.0618,0.0383,0.0362,0.0478,0.0737
2017,2017000-S03,17_Ctrl,0.0745,0.295,0.0827,0.341,0.0781,1.71,8.44,0.0695,0.0722,0.0833,0.037,0.0351,0.0644,0.0396,0.223,0.0508,0.0818
2017,2017000-S04,17_Ctrl,0.0808,0.0745,0.0842,0.0777,0.0794,1.38,7.83,0.0934,0.0641,0.0681,0.0558,0.0542,0.111,0.0602,0.0375,0.0498,0.0871
2017,2017011-S01,17TR_UP,0.0704,0.357,0.374,0.592,0.3,2.6,11,0.0866,0.0623,0.0668,0.0539,0.0504,0.102,0.0524,0.236,0.0491,0.0929
2017,2017011-S02,17TR_UP,0.127,0.487,0.451,0.861,0.39,3.23,12.7,0.229,0.0721,0.0785,0.0525,0.0489,0.0883,0.0561,0.289,0.0596,0.0943
2017,2017011-S03,17TR_UP,0.0837,0.269,0.0822,0.302,0.0757,1.01,4.16,0.0883,0.0648,0.0694,0.0434,0.0368,0.0764,0.0439,0.171,0.0513,0.09
2017,2017011-S04,17TR_UP,0.0643,0.32,0.282,0.516,0.256,1.83,8.86,0.169,0.0511,0.0577,0.0398,0.718,0.0694,0.0407,1.3,0.0576,0.0751
2017,2017012-S01,17TR_SC,0.221,0.108,0.111,0.116,0.111,1.07,5.88,0.726,0.236,1.04,0.669,0.0709,0.167,0.0955,0.0939,0.154,11.8
2017,2017012-S02,17TR_SC,0.215,0.251,0.24,0.366,0.166,1.12,5.89,0.767,0.316,1.65,1.91,0.344,0.0612,0.0432,1.43,0.558,52
2017,2017012-S03,17TR_SC,0.393,0.4,0.0647,0.658,0.142,1.37,8.37,0.769,0.394,2.17,1.6,0.378,0.0728,0.155,0.999,0.312,30.6
2017,2017012-S04,17TR_SC,0.257,0.272,0.0607,0.481,0.148,1.16,5.69,0.576,0.198,0.966,0.711,0.18,0.0688,0.132,0.509,0.24,20.5
2017,2017013-S01,17TR_FR,0.316,0.38,0.236,0.528,0.199,2.22,11.4,1.55,0.371,0.849,0.204,0.0325,0.0559,0.0365,0.213,0.0503,0.469
2017,2017013-S02,17TR_FR,0.288,0.366,0.335,0.554,0.309,2.18,10.5,1.23,0.343,0.791,0.135,0.0283,0.0491,0.0319,0.17,0.0327,0.0458
2017,2017013-S03,17TR_FR,0.186,0.198,0.243,0.203,0.214,0.89,3.81,1.1,0.173,0.199,0.148,0.125,0.347,0.169,0.166,0.212,0.263
2017,2017013-S04,17TR_FR,0.0935,0.107,0.123,0.108,0.112,0.835,4.62,0.889,0.221,0.698,0.24,0.0607,0.142,0.0851,0.317,0.125,2.64
2017,2017014-S01,17TR_CR,0.214,0.166,0.0478,0.324,0.0954,0.895,4.55,3.37,0.769,1.34,0.221,0.0258,0.0476,0.0301,0.263,0.0385,0.281
2017,2017014-S02,17TR_CR,0.0825,0.0878,0.111,0.217,0.111,0.121,5.36,3.33,0.856,1.55,0.195,0.0513,0.115,0.061,0.0721,0.112,0.114
2017,2017014-S03,17TR_CR,0.211,0.235,0.0999,0.371,0.105,1.17,5.73,3.75,0.709,1.34,0.0673,0.0613,0.117,0.0706,0.0832,0.143,0.143
2017,2017014-S04,17TR_CR,0.207,0.29,0.191,0.323,0.0546,1.03,5.29,3.79,0.854,1.52,0.263,0.0883,0.055,0.0346,0.216,0.043,0.057
2017,2017021-S01,17SR_MG,0.243,0.237,0.141,0.13,0.132,1.14,6.71,1.25,0.358,1.06,0.193,0.0668,0.123,0.0778,0.0708,0.112,0.0963
2017,2017021-S02,17SR_MG,0.13,0.117,0.136,0.131,0.131,0.6,2.91,0.898,0.189,0.714,0.0932,0.0874,0.177,0.111,0.0648,0.085,0.173
2017,2017021-S03,17SR_MG,0.106,0.104,0.11,0.284,0.107,1.04,5.4,1.27,0.305,0.864,0.0635,0.0565,0.114,0.0693,0.0649,0.0813,0.104
2017,2017021-S04,17SR_MG,0.171,0.255,0.131,0.119,0.122,0.441,2.39,0.818,0.334,0.798,0.0825,0.0742,0.154,0.0927,0.0563,0.0903,0.151
2017,2017022-S01,17SR_TP,0.302,0.44,0.357,0.508,0.0988,1.62,8.26,2.37,0.51,0.925,0.0721,0.0699,0.153,0.0876,0.0437,0.0626,0.135
2017,2017022-S02,17SR_TP,0.262,0.404,0.109,0.431,0.239,1.76,9.43,2.25,0.505,0.958,0.0573,0.0495,0.113,0.0599,0.0563,0.0722,0.109
2017,2017022-S03,17SR_TP,0.369,0.535,0.458,0.893,0.144,2.78,13.7,1.96,0.487,1.05,0.0836,0.0725,0.177,0.106,0.0502,0.0831,0.128
2017,2017022-S04,17SR_TP,0.26,0.285,0.0942,0.307,0.0889,1.35,5.7,1.73,0.334,0.978,0.137,0.063,0.152,0.0722,0.058,0.0875,0.103
2017,2017023-S01,17SR_DM,0.283,0.3,0.201,0.172,0.18,1.24,6.18,1.81,0.318,0.715,0.0637,0.056,0.149,0.0635,0.0596,0.0915,0.135
2017,2017023-S02,17SR_DM,0.174,0.145,0.165,0.142,0.149,1.18,5.31,1.97,0.139,0.713,0.0789,0.0744,0.205,0.0854,0.0824,0.122,0.186
2017,2017023-S03,17SR_DM,0.276,0.254,0.118,0.479,0.107,1.82,7.71,2.29,0.0945,0.812,0.0638,0.0534,0.138,0.0711,0.0505,0.0713,0.108
2017,2017023-S04,17SR_DM,0.257,0.348,0.373,0.532,0.117,2.05,10.4,2.41,0.46,0.942,0.0719,0.0623,0.163,0.0805,0.0674,0.109,0.124
2017,2017024-S01,17SR_WR,0.0685,0.0817,0.107,0.608,0.102,1.68,9.1,1.77,0.41,1.05,0.0534,0.0475,0.109,0.0546,0.0454,0.0717,0.104
2017,2017024-S02,17SR_WR,0.275,0.373,0.351,0.5,0.0653,1.59,7.32,1.3,0.423,1.11,0.174,0.0449,0.0905,0.0534,0.158,0.0643,0.0773
2017,2017024-S03,17SR_WR,0.305,0.343,0.201,0.405,0.158,1.23,5.89,1.74,0.483,1.02,0.0863,0.0708,0.172,0.0853,0.0814,0.118,0.155
2017,2017024-S04,17SR_WR,0.302,0.135,0.145,0.492,0.131,1.54,7.64,1.76,0.525,0.871,0.184,0.0732,0.189,0.0909,0.0828,0.143,0.185
2017,2017025-S01,17SR_RML,0.246,0.349,0.248,0.509,0.135,1.76,9.8,2.24,0.504,0.98,0.131,0.0355,0.0665,0.0382,0.0405,0.0515,0.0696
2017,2017025-S02,17SR_RM,0.279,0.459,0.345,0.528,0.233,1.83,9.37,2.14,0.555,0.99,0.0472,0.0471,0.0785,0.0508,0.166,0.0402,0.0756
2017,2017026-S01,17SR_RM,0.169,0.0625,0.0676,0.156,0.0659,0.326,1.78,1.35,0.302,0.74,0.102,0.0408,0.0758,0.044,0.0363,0.0438,0.0635
2017,2017026-S02,17SR_RM,0.0843,0.324,0.0778,0.416,0.0735,2.01,9.74,2.46,0.561,0.965,0.0478,0.0427,0.0904,0.0539,0.037,0.0509,0.0724
2017,2017027-S01,17SB_GI,0.14,0.15,0.198,0.351,0.181,1.84,8.43,1.83,0.56,0.588,0.11,0.0909,0.239,0.11,0.0705,0.123,0.191
2017,2017027-S02,17SB_GI,0.154,0.224,0.154,0.142,0.144,1.05,4.36,1.33,0.371,0.452,0.0848,0.0785,0.211,0.102,0.0743,0.108,0.166
2017,2017027-S03,17SB_GI,0.163,0.211,0.181,0.378,0.172,1.36,7.78,1.66,0.188,0.621,0.103,0.0909,0.237,0.137,0.096,0.129,0.186
2017,2017027-S04,17SB_GI,0.134,0.182,0.301,0.595,0.162,2.13,8.89,2.06,0.45,0.452,0.115,0.114,0.253,0.13,0.0929,0.143,0.137
2002,2002010-1,02_Ctrl,0,0.45,0.027,0.051,0.026,0.013,0.00052,0,0,0,0,0,0,0,0,0,0
2002,2002010-2,02_Ctrl,0,0.43,0,0.052,0,0.0096,0.00047,0.041,0,0,0,0,0,0,0,0,0
2002,2002010-3,02_Ctrl,0,0,0,0,0,0.0074,0.00043,0,0.035,0,0,0,0,0,0,0,0
2002,2002010-4,02_Ctrl,0,0,0,0.038,0,0.011,0.00046,0.031,0.085,0,0,0,0,0,0,0,0
2002,2002015-1,02_CHP,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0
2002,2002015-2,02_CHP,0,0,0,0,0,0.012,0.0004,0,0,0,0,0,0,0,0,0,0
2002,2002015-3,02_CHP,0.26,0,0,0,0,0.018,0.00097,0.085,0,0,0,0,0,0,0,0,0
2002,2002015-4,02_CHP,0.22,0.48,0,0.051,0,0,0.00038,0,0,0,0,0,0,0,0,0,0
2002,2002016-1,02TR_UP,0,0.35,0,0,0,0.011,0.0004,0,0,0,0,0,0,0,0,0,0
2002,2002016-2,02TR_UP,0,0,0,0.067,0,0.013,0.00056,0,0.105,0,0,0,0,0,0,0,0
2002,2002016-3,02TR_UP,0,0,0,0,0,0.012,0.00054,0,0.49,0,0,0,0,0,0,0,0
2002,2002016-4,02TR_UP,0,0,0,0.06,0.036,0.016,0.00066,0,0.345,0,0,0,0,0,0,0,0
2002,2002017-1,02TR_SC,0.47,0.21,0,0.036,0,0.012,0.00071,0.28,0,0.405,0.06,0,0,0,0,0,0.00012
2002,2002017-2,02TR_SC,0,0.48,0,0.053,0,0.0098,0.00059,0.25,0,0.495,0.067,0,0,0,0.011,0,0.000065
2002,2002017-3,02TR_SC,0.73,0.67,0,0.11,0,0.025,0,0.33,0,0.7,0.085,0,0,0,0,0,0
2002,2002018-1,02TR_Dow,0,0.47,0,0.073,0.027,0.022,0.0051,0.093,0,0.43,0.06,0,0,0,0,0,0
2002,2002018-2,02TR_Dow,0.53,0.4,0,0,0,0.021,0.00107,0.23,0,0.465,0.092,0,0,0,0.013,0,0
2002,2002018-3,02TR_Dow,0.48,0,0,0.079,0,0,0.00059,0,0,0.48,0.074,0,0,0,0,0,0
2002,2002018-4,02TR_Dow,0.42,0.62,0,0.088,0,0,0.00064,0.26,0,0,0.077,0,0,0,0,0,0
2002,2002019-1,02TR_FR,0,0.47,0,0.082,0,0.018,0.00048,0.38,0,1,0.077,0,0,0,0,0,0
2002,2002019-2,02TR_FR,0.64,0.5,0,0.081,0,0,0.00053,0.53,0,1.1,0.092,0,0,0,0,0,0.00016
2002,2002019-3,02TR_FR,0.77,0.63,0,0.096,0,0.021,0.00069,0,0,1.45,0.13,0.036,0.034,0,0.0084,0,0.000059
2002,2002019-4,02TR_FR,0.64,0.45,0,0,0,0,0.00041,0.26,0,1.1,0.082,0,0.019,0,0,0,0
2002,2002020-1,02TR_CR,0.45,0.46,0,0.056,0.025,0.012,0.00042,1.05,0,1.7,0.13,0.033,0.029,0,0.0072,0,0.000088
2002,2002020-2,02TR_CR,0.94,0.7,0.023,0,0.039,0.011,0.00039,0.63,0,3.15,0.17,0.057,0.043,0,0.011,0,0
2002,2002020-3,02TR_CR,0.44,0,0,0.049,0,0.013,0.00039,0.33,0,1.45,0.095,0,0.025,0,0.0073,0,0
2002,2002020-4,02TR_CR,0.6,0,0,0,0.032,0.013,0.00044,0.47,0,2.05,0.1,0,0.043,0,0.0095,0,0.000056
2002,2002021-1,02TR_Conf,0.35,0,0,0.031,0,0.0083,0.00024,0.39,0,1.2,0.071,0.018,0,0,0,0,0
2002,2002021-2,02TR_Conf,0.65,1.4,0.13,0.15,0.13,0.02,0.00053,0.59,0,2,0.18,0.13,0.12,0.11,0.016,0.012,0.00016
2002,2002021-3,02TR_Conf,0.75,0.53,0,0.071,0.027,0,0.00088,0.62,0,2.5,0.14,0.039,0.034,0,0.009,0,0.000057
2002,2002021-4,02TR_Conf,0.67,0.38,0,0.049,0,0.0096,0.00033,0.48,0,2.05,0.1,0.03,0.025,0,0,0,0.000035
2002,2002022-1,02SH_FG,0.17,0.46,0.044,0,0.043,0.026,0.00098,0,0,0.07,0.016,0,0,0,0,0,0
2002,2002022-2,02SH_FG,0.16,0.4,0.027,0.065,0.027,0.014,0.00052,0.024,0,0.09,0.03,0,0,0,0,0,0
2002,2002022-3,02SH_FG,0.1,0,0.013,0.031,0,0.0091,0.00032,0,0,0,0,0,0,0,0,0,0
2002,2002022-4,02SH_FG,0.1,0.23,0.013,0.031,0.015,0.0091,0.00032,0,0,0.075,0.046,0.014,0,0,0.0057,0,0.00013
2002,2002025-1,02SH_Conf,0.25,0.43,0.024,0.05,0.021,0.01,0.00041,0.17,0,0.37,0.056,0.031,0,0,0,0,0
2002,2002025-3,02SH_Conf,0.2,0.49,0.022,0.063,0,0.0087,0.00043,0.18,2.26,0.305,0,0,0.024,0,0.0031,0,0
2002,2002025-4,02SH_Conf,0,0,0,0,0,0,0,0,0.745,0.45,0,0,0,0,0,0,0
2002,2002026-1,02SR_ZL,0.52,0,0,0.045,0,0.0088,0.00034,0.15,0,1.15,0.057,0.023,0,0,0.0049,0,0
2002,2002026-2,02SR_ZL,0.56,0.68,0.03,0.081,0.039,0.018,0.00094,0.21,0,1.25,0.11,0.032,0,0,0.0074,0,0.000058
2002,2002026-3,02SR_ZL,0.52,0,0.061,0,0.028,0.013,0.00067,0.16,0,1.2,0.079,0,0.015,0,0.0083,0,0.000059
2002,2002026-4,02SR_ZL,0.65,0.77,0,0.096,0.066,0.024,0.00093,0.42,0,1.45,0.1,0.028,0.024,0,0.008,0,0.00005
2002,2002027-1,02SR_MG,0.57,0.55,0.025,0.058,0.025,0.014,0.00051,0.3,0,1.1,0.078,0.025,0,0,0.0091,0,0.000053
2002,2002027-2,02SR_MG,0.72,0.48,0,0.047,0,0.0096,0.0004,0.26,0,1.3,0.094,0.029,0.026,0,0.007,0,0.000046
2002,2002027-3,02SR_MG,0.61,0.73,0.038,0.08,0.036,0.017,0.00066,0.44,0,1.2,0.1,0.026,0.019,0,0.0086,0,0.000046
2002,2002027-4,02SR_MG,0.89,0.67,0,0.1,0.031,0.021,0.00102,0.33,0,1.55,0.12,0.034,0.024,0,0.011,0,0.000061
2002,2002028-1,02SR_RM,0.53,0.33,0.012,0.039,0.015,0.0058,0.00026,0.064,0,0.9,0.047,0.016,0.054,0,0.0035,0,0.000017
2002,2002028-2,02SR_RM,0.75,0.46,0.018,0.056,0.021,0.01,0.00039,0.33,0,1.35,0.058,0.022,0.015,0,0.0058,0,0
2002,2002028-3,02SR_RM,0.8,0.63,0.035,0.085,0.032,0.013,0.00048,0.26,0,1.25,0.054,0.021,0.015,0,0.0046,0,0.000018
2002,2002028-4,02SR_RM,0.79,0.48,0.027,0.066,0.029,0.013,0.00047,0.37,0,1.35,0.065,0.024,0.018,0,0.006,0,0
